ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
792,M136,05M302,KAPPA IV(MN),M302,6 EDGECOMBE AVENUE,M,5,131,6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,4,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
793,M136,05M304,MOTT HALL HS(MN),M304,6 EDGECOMBE AVENUE,M,5,249,6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,4,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
794,M136,05M685,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,M685,6 EDGECOMBE AVENUE,M,5,SCHOOL CLOSED,6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,4,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
796,M137,01M184,PS 184-SHUANG WEN(MANHATTAN),M184,327 Cherry St,M,1,650,,1,PS 184-SHUANG WEN(MANHATTAN),1,1,0,1,1,4C,501-750,0.26,1.13,2.41,0.66,0.57
797,M140,01M140,PS 140 NATHAN STRAUS(MS),M140,123 Ridge St,M,1,364,,1,PS 140 NATHAN STRAUS(MS),0,1,7,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
798,M142,01M142,PS 142 AMALIA CASTRO(MS),M142,100 ATTORNEY STREET,M,1,316,,1,PS 142 AMALIA CASTRO(MS),0,1,1,0,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
799,M143,06M143,IS 143(MN),M143,511 WEST 182 STREET,M,6,278,511 WEST 182 STREET CONSOLIDATED LOCATION,2,J.H.S. 143 Eleanor Roosevelt |  Washington Heights Expeditionary Learning School |  511 WEST 182ND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
800,M143,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL(MANHATTAN),M348,511 WEST 182 STREET,M,6,713,511 WEST 182 STREET CONSOLIDATED LOCATION,2,J.H.S. 143 Eleanor Roosevelt |  Washington Heights Expeditionary Learning School |  511 WEST 182ND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
802,M144,03M242,PS 242 (MANHATTAN),M242,134 WEST 122 STREET,M,3,153,134 WEST 122 STREET CONSOLIDATED LOCATION,2,P.S. 242 - The Young Diplomats Magnet Academy |  Future Leaders Institute Charter School |  134 WEST 122 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
803,M144,84M861,FUTURE LEADERS INSTITUTE CHARTER SCHOOL(MN),M861,134 WEST 122 STREET,M,3,351,134 WEST 122 STREET CONSOLIDATED LOCATION,2,P.S. 242 - The Young Diplomats Magnet Academy |  Future Leaders Institute Charter School |  134 WEST 122 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
805,M145,03M145,PS 145(MN),M145,150 WEST 105 STREET,M,3,343,150 WEST 105 STREET CONSOLIDATED LOCATION,2,"P.S. 145, The Bloomingdale School |  West Prep Academy |  150 WEST 105 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
806,M145,03M421,WEST PREP ACADEMY(MANHATTAN),M421,150 WEST 105 STREET,M,3,199,150 WEST 105 STREET CONSOLIDATED LOCATION,2,"P.S. 145, The Bloomingdale School |  West Prep Academy |  150 WEST 105 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
808,M146,04M146,PS 146(MN),M146,421 EAST 106 STREET,M,4,322,,1,PS 146(MN),0,2,0,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
809,M149,75M162,P162(MN),M162,34 West 118th St.,M,75,SCHOOL CLOSED,34 West 118th St.,2,P162(MN)|SUCCESS ACADEMY Charter school|34 West 118th St. consolidated location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
810,M149 ,84M351,SUCCESS ACADEMY Charter school,M351,34 West 118th St.,M,2,1124,34 West 118th St.,2,P162(MN)|SUCCESS ACADEMY Charter school|34 West 118th St. consolidated location,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A
811,M149 ,,34 West 118th St. consolidated location,,34 West 118th St.,M,2,1124,34 West 118th St.,2,P162(MN)|SUCCESS ACADEMY Charter school|34 West 118th St. consolidated location,1,1,0,2,0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
812,M152,06M152,PS 152(MANHATTAN),M152,93 NAGLE AVENUE,M,6,512,,1,PS 152(MANHATTAN),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
813,M153,06M153,PS 153(MANHATTAN),M153,1750 AMSTERDAM AVENUE,M,6,545,1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,2,PS 153(MANHATTAN)|HAMILTON HEIGHTS SCHOOL (MN)|1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
814,M153,06M368,HAMILTON HEIGHTS SCHOOL (MN),M368,1750 AMSTERDAM AVENUE,M,6,171,1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,2,PS 153(MANHATTAN)|HAMILTON HEIGHTS SCHOOL (MN)|1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
815,M153,,1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,,1750 AMSTERDAM AVENUE,M,6,716,1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,2,PS 153(MANHATTAN)|HAMILTON HEIGHTS SCHOOL (MN)|1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,0,1,1,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
816,M154,84M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL(MN),M065,250 WEST 127 STREET,M,5,563,250 WEST 127 STREET CONSOLIDATED LOCATION,2,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL(MN)|PS 154(MANHATTAN)|250 WEST 127 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
817,M154,85M154,PS 154(MANHATTAN),M154,250 WEST 127 STREET,M,5,261,250 WEST 127 STREET CONSOLIDATED LOCATION,2,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL(MN)|PS 154(MANHATTAN)|250 WEST 127 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
818,M154,,250 WEST 127 STREET CONSOLIDATED LOCATION,,250 WEST 127 STREET,M,5,824,250 WEST 127 STREET CONSOLIDATED LOCATION,2,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL(MN)|PS 154(MANHATTAN)|250 WEST 127 STREET CONSOLIDATED LOCATION,0,0,3,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
819,M155,04M155,PS 155(MANHATTAN),M155,319 EAST 117 STREET,M,4,248,319 EAST 117 STREET CONSOLIDATED LOCATION,2,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
820,M155,04M377,RENAISSANCE SCHOOL OF THE ARTS(MANHATTAN),M377,410 East 100 St.,M,4,144,410 East 100 St. CONSOLIDATED LOCATION,2,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
822,M158,02M158,PS 158(MANHATTAN),M158,1458 YORK AVENUE,M,2,725,1458 YORK AVENUE CONSOLIDATED LOCATION,2,P.S. 158 Bayard Taylor | Yorkville East Middle School | 1458 YORK AVENUE  CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
823,M158,02M177,YORKVILLE EAST MIDDLE SCHOOL(MN),M177,1458 York Avenue,M,2,232,1458 YORK AVENUE CONSOLIDATED LOCATION,2,P.S. 158 Bayard Taylor | Yorkville East Middle School | 1458 YORK AVENUE  CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
825,M161,85M161,PS 161(MANHATTAN),M161,499 WEST 133 STREET,M,5,847,,1,PS 161(MANHATTAN),0,6,9,4,2,5C,751-1000,0.38,1.52,3.88,0.83,0.91
826,M163,03M163,PS 163(MANHATTAN),M163,163 WEST 97 STREET,M,3,538,,1,PS 163(MANHATTAN),0,1,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
827,M164,06M328,MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY(MN),M328,401 West 164th St,M,6,247,,1,MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY(MN),1,1,3,2,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
828,M165,03M165,PS 165(MANHATTAN),M165,234 WEST 109 STREET,M,3,550,234 WEST 109 STREET CONSOLIDATED LOCATION,2,P.S. 165 Robert E. Simon |  Mott Hall II |  234 WEST 109 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
829,M165,03M862,MOTT HALL II(MN),M862,234 WEST 109 STREET,M,3,348,234 WEST 109 STREET CONSOLIDATED LOCATION,2,P.S. 165 Robert E. Simon |  Mott Hall II |  234 WEST 109 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
831,M166,03M166,PS 166(MANHATTAN),M166,132 WEST 89 STREET,M,3,628,,1,PS 166(MANHATTAN),0,0,1,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
832,M167,02M167,IS/JHS 167(MN),M167,220 EAST 76 STREET,M,2,1335,,1,IS/JHS 167(MN),1,2,4,3,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
833,M169,75M169,P169(MN),M169,110 EAST 88 STREET,M,2,384,,1,P169(MN),0,7,1,0,5,3C,251-500,0.25,1.03,2.22,0.55,0.58
834,M171,04M171,PS 171(MANHATTAN),M171,19 EAST 103 STREET,M,4,685,,1,PS 171(MANHATTAN),0,4,5,2,1,4C,501-750,0.26,1.13,2.41,0.66,0.57
835,M173,06M173,PS 173(MANHATTAN),M173,306 FORT WASHINGTON AVENUE,M,6,444,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,2,P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
836,M173,06M349,HARBOR HEIGHTS MIDDLE SCHOOL(MN),M349,306 FORT WASHINGTON AVENUE,M,6,141,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,2,P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
838,M175,05M175,PS 175(MANHATTAN),M175,175 WEST 134 STREET,M,5,303,,1,PS 175(MANHATTAN),0,4,1,0,2,3C,251-500,0.25,1.03,2.22,0.55,0.58
839,M176,06M176,Amistad Dual Language School,M311,4862 BROADWAY,M,6,390,4862 BROADWAY CONSOLIDATED LOCATION,2,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
840,M176,06M314,MUSCOTA PS314(MN),M314,4862 BROADWAY,M,6,282,4862 BROADWAY CONSOLIDATED LOCATION,2,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
842,M178,06M178,PS 178(MANHATTAN),M178,1218 ELWOOD STREET,M,6,296,,1,PS 178(MANHATTAN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
843,M180,85M180,PS 180(MANHATTAN),M180,370 WEST 120 STREET,M,85,456,,1,PS 180(MANHATTAN),1,2,1,2,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
844,M183,02M183,PS 183(MANHATTAN),M183,419 EAST 66 STREET,M,2,534,,1,PS 183(MANHATTAN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
845,M185,03M185,PS 185(MANHATTAN),M185,20 WEST 112 STREET,M,3,186,,1,PS 185(MANHATTAN),1,0,0,1,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
846,M187,06M187,PS 187(MANHATTAN),M187,349 CABRINI BOULEVARD,M,6,778,349 CABRINI BOULEVARD CONSOLIDATED LOCATION,3,PS 188 THE ISLAND SCHOOL(MANHATTAN)| GIRLS PREPARATORY CHARTER(MS)|  442 EAST HOUSTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
847,M188,01M188,PS 188 THE ISLAND SCHOOL(MANHATTAN),M188,442 EAST HOUSTON STREET,M,1,417,442 EAST HOUSTON STREET CONSOLIDATED LOCATION,3,PS 188 THE ISLAND SCHOOL(MANHATTAN)| GIRLS PREPARATORY CHARTER(MS)|  442 EAST HOUSTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
848,M188,84M330,GIRLS PREPARATORY CHARTER(MS) ,M330,442 EAST HOUSTON STREET,M,1,613,442 EAST HOUSTON STREET CONSOLIDATED LOCATION,3,PS 188 THE ISLAND SCHOOL(MANHATTAN)| GIRLS PREPARATORY CHARTER(MS)|  442 EAST HOUSTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
849,M188,,442 EAST HOUSTON STREET CONSOLIDATED LOCATION,,442 EAST HOUSTON STREET,M,1,1030,442 EAST HOUSTON STREET CONSOLIDATED LOCATION,3,PS 188 THE ISLAND SCHOOL(MANHATTAN)| GIRLS PREPARATORY CHARTER(MS)|  442 EAST HOUSTON STREET CONSOLIDATED LOCATION,2,2,4,3,1,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
850,M189,06M189,PS 189(MANHATTAN),M189,2580 AMSTERDAM AVENUE,M,6,752,,1,PS 189(MANHATTAN),0,1,0,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
851,M190,02M290,PS 290(MANHATTAN),M290,311 EAST 82 STREET,M,2,587,,1,PS 290(MANHATTAN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
852,M191,03M452,PS 452M,M452,210 West 61st Street,M,3,272,,1,PS 452M,2,0,0,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
853,M192,06M192,PS 192 (MANHATTAN),M192,500 WEST 138 STREET,M,6,390,,1,PS 192 (MANHATTAN),2,1,2,2,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
854,M194,05M194,PS 194 COUNTEE CULLEN(MN),M194,244 WEST 144 STREET,M,5,213,244 WEST 144 STREET CONSOLIDATED LOCATION,2,P.S. 194 Countee Cullen|Harlem Village Academy Charter School|244 WEST 144 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
855,M194,84M709,HARLEM VILLAGE ACADEMY CHARTER SCHOOL-WEST(MN),M709,244 West 144 Street,M,5,844,244 WEST 144 STREET CONSOLIDATED LOCATION,2,P.S. 194 Countee Cullen|Harlem Village Academy Charter School|244 WEST 144 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
857,M195,05M514,NEW DESIGN MIDDLE SCHOOL(MN),M514,625 WEST 133 STREET,M,5,138,625 WEST 133 STREET CONSOLIDATED LOCATION,2,NEW DESIGN MIDDLE SCHOOL(MN)|KIPP INFINITY CHARTER SCHOOL(MN)| 625 WEST 133 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
858,M195,84M336,KIPP INFINITY CHARTER SCHOOL(MN) ,M336,625 WEST 133 STREET,M,5,1068,625 WEST 133 STREET CONSOLIDATED LOCATION,2,NEW DESIGN MIDDLE SCHOOL(MN)|KIPP INFINITY CHARTER SCHOOL(MN)| 625 WEST 133 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A
859,M195,,625 WEST 133 STREET CONSOLIDATED LOCATION,,625 WEST 133 STREET,M,5,1206,625 WEST 133 STREET CONSOLIDATED LOCATION,2,NEW DESIGN MIDDLE SCHOOL(MN)|KIPP INFINITY CHARTER SCHOOL(MN)| 625 WEST 133 STREET CONSOLIDATED LOCATION,0,3,6,2,0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
860,M197,05M197,PS 197(MANHATTAN),M197,2230 FIFTH AVENUE,M,5,300,,1,PS 197(MANHATTAN),1,1,1,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
861,M198,02M077,PS 77 (MANHATTAN) Lower Lab,M077,1700 THIRD AVENUE,M,2,358,1700 THIRD AVENUE CONSOLIDATED LOCATION,2,P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
862,M198,02M198,PS 198(MANHATTAN),M198,1700 THIRD AVENUE,M,2,392,1700 THIRD AVENUE CONSOLIDATED LOCATION,2,P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
864,M199,03M199,PS 199(MANHATTAN),M199,270 WEST 70 STREET,M,3,849,,1,PS 199(MANHATTAN),0,1,1,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
865,M200,05M200,PS 200(MANHATTAN),M200,2589 SEVENTH AVENUE,M,5,354,,1,PS 200(MANHATTAN),0,1,3,0,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
866,M206,04M206,PS 206(MANHATTAN),M206,508 EAST 120 STREET,M,4,473,,1,PS 206(MANHATTAN),0,1,3,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
867,M207,03M149,PS 149(MN),M149,41 West 117th St.,M,3,216,,1,PS 149(MN),0,3,1,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
868,M208,03M208,PS 208(MANHATTAN),M208,21 WEST 111 STREET,M,3,122,,1,PS 208(MANHATTAN),2,2,1,3,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
869,M218,06M218,IS 218(MN),M218,4600 BROADWAY,M,6,171,4600 BROADWAY CONSOLIDATED LOCATION,3,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
870,M218,06M293,CITY COLLEGE ACADEMY OF THE ARTS(MN) ,M293,4600 BROADWAY,M,6,512,4600 BROADWAY CONSOLIDATED LOCATION,3,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
871,M218,06M322,MIDDLE SCHOOL 322(MN) ,M322,4600 BROADWAY,M,6,322,4600 BROADWAY CONSOLIDATED LOCATION,3,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
873,M223,06M223,PS 223(MANHATTAN),M223,71-111 CONVENT AVE,M,6,288,,1,PS 223(MANHATTAN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
874,M233,06M993,PS 132 ANNEX SUSPENSION SITE(MN),M993,601 W 183 ST,M,6,ANNEX,,1,PS 132 ANNEX SUSPENSION SITE(MN),2,0,10,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
875,M234,02M234,PS 234(MANHATTAN),M234,292 GREENWICH STREET,M,2,648,,1,PS 234(MANHATTAN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
876,M263,06M366,WASHINGTON HEIGHTS ACADEMY (MANHATTAN),M366,202 Sherman Ave.,M,6,524,,1,WASHINGTON HEIGHTS ACADEMY (MANHATTAN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
877,M267,02M267,EAST SIDE ELEMENTARY SCHOOL PS 267(MN),M267,213 East 63 St.,M,2,393,,1,EAST SIDE ELEMENTARY SCHOOL PS 267(MN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
878,M271,02M217,PS/IS 217 ROOSEVELT ISLAND(MN),M217,645 MAIN STREET,M,2,527,,1,PS/IS 217 ROOSEVELT ISLAND(MN),0,0,3,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
879,M274,03M274,YALA MANHATTAN LEARNING CENTER(MANHATTAN),M081,212 West 120 street,M,2,LEARNING CENTER,,1,YALA MANHATTAN LEARNING CENTER(MANHATTAN),0,2,7,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
880,M276,02M276,BATTERY PARK CITY SCHOOL(MS),M276,55 Battery Place,M,2,807,55 BATTERY PLACE CONSOLIDATED LOCATION,2,P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
881,M276,75M094,PS 094,M094,55 BATTERY PLACE,M,2,416,55 BATTERY PLACE CONSOLIDATED LOCATION,2,P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
883,M281,02M281,THE RIVER SCHOOL(MS),M281,425 East 35 Street,M,2,246,,1,THE RIVER SCHOOL(MS),0,1,0,0,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
884,M282,02M316,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN(MS) ,M316,26 Broadway,M,2,182,26 Broadway CONSOLIDATED LOCATION,3,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School | Urban Assembly School of Business for Young Women l 26 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
885,M282,02M580,RICHARD R. GREEN HS OF TEACHING(MS),M580,7 Beaver Street,M,2,389,26 Broadway CONSOLIDATED LOCATION,3,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School | Urban Assembly School of Business for Young Women l 26 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
886,M282,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL(MS) ,M896,26 Broadway,M,2,384,26 Broadway CONSOLIDATED LOCATION,3,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School | Urban Assembly School of Business for Young Women l 26 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
889,M338,02M051,PS 51 ELIAS HOWE,M051,525 West 44 Street,M,2,405,,1,PS 51 ELIAS HOWE,0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
890,M340,02M340,SIXTH AVENUE ELEMENTARY SCHOOL(MS),M340,590 Sixth Avenue,M,2,208,,1,SIXTH AVENUE ELEMENTARY SCHOOL(MS),0,1,0,0,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
891,M342,03M191,PS 191M,M191,300 West 61st Street,M,3,450,,1,PS 191M,0,1,2,0,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
892,M343,02M343,PS 343 - THE PECK SLIP SCHOOL,M343,1 Peck Slip,M,2,405,,1,PS 343 - THE PECK SLIP SCHOOL,0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
893,M371,05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL(MANHATTAN) ,M318,276 West 151 St,M,5,217,,1,THURGOOD MARSHALL ACADEMY LOWER SCHOOL(MANHATTAN) ,0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
894,M389,05M357,SUCCESS ACADEMY HARLEM CENTRAL(MN),M357,461 West 131 Street,M,5,135,,1,SUCCESS ACADEMY HARLEM CENTRAL(MN),0,0,3,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
895,M435,04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS(MN),M435,260 PLEASANT AVENUE,M,4,1244,260 PLEASANT AVENUE CONSOLIDATED LOCATION,2,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A
896,M435,09M825,ISAAC NEWTON JHS FOR SCIENCE & MATH(MN),M825,260 PLEASANT AVENUE,M,9,189,260 PLEASANT AVENUE CONSOLIDATED LOCATION,2,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
898,M440,02M313,THE JAMES BALDWIN SCHOOL:A SCHOOL FOR EXPEDITIONARY LEARNING(MANHATTAN) ,M313,351 WEST 18 STREET,M,2,186,351 WEST 18 STREET CONSOLIDATED LOCATION,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
